GENESIS-Tabelle: 41255-0002
Weinbestand: Bundesl‰nder, Jahre, Rebsorte;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erhebung der Weinbest‰nde;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weinbestand (hl);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Rheinland-Pfalz;Weiﬂwein;8704196;7420963;7200055;6893655;6493470;6256277;6900785;7772251;7126367;6221258;5579426;4860275;4760870;4286065;3874277;4074741;4475970;4357921;3353354;3507061;3419704;3437413;3865720;3911378;3921855;3194715
Rheinland-Pfalz;Rotwein;1226014;1128881;999521;917677;954425;1028701;1234584;1488595;1948205;1831397;2203272;2170709;2504119;2647573;2624608;2536099;2422256;2514466;2204047;2502931;2503117;2478356;2447430;2377184;2336531;2254231
Rheinland-Pfalz;Insgesamt;9930212;8549843;8199576;7811332;7447894;7284978;8135369;9260847;9074571;8052655;7782699;7030984;7264990;6933638;6498886;6610840;6898226;6872387;5557401;6009992;5922821;5915769;6313150;6288562;6258386;5448946
Saarland;Weiﬂwein;20587;18107;18189;20234;18376;9539;10498;9684;10150;11060;13653;14009;12060;10727;11261;11515;9667;7303;9711;36131;27551;7319;6590;6719;7248;7799
Saarland;Rotwein;16280;15950;19510;18779;18862;14770;10895;10938;11210;10195;10352;13422;12889;10526;10370;11806;10776;6643;8459;19117;19122;9199;7554;5726;6180;5674
Saarland;Insgesamt;36867;34057;37699;39013;37238;24309;21393;20622;21360;21255;24005;27431;24949;21254;21631;23322;20443;13946;18170;55248;46673;16518;14144;12445;13428;13473
Sachsen;Weiﬂwein;36766;33263;47181;41682;48622;35964;39528;45982;51546;49919;33655;40646;24725;46929;35423;32131;49501;43314;39783;38642;40907;44277;42407;48839;54682;.
Sachsen;Rotwein;1825;4080;16456;8418;11205;19481;23267;33745;40775;53089;37784;57999;51193;76016;61505;44234;74924;78747;77767;67192;43153;57808;57155;49070;52060;42292
Sachsen;Insgesamt;38591;37343;63637;50100;59827;55445;62795;79727;92321;103008;71439;98645;75918;122945;96928;76365;124425;122061;117551;105834;84060;102085;99562;97909;106742;99585
Sachsen-Anhalt;Weiﬂwein;97914;123374;180448;193046;221307;263928;286638;291507;293615;293867;294119;232980;210996;266089;326113;349973;371134;399292;483836;.;.;.;.;.;.;603188
Sachsen-Anhalt;Rotwein;8612;15071;17891;15532;14758;10754;14715;20807;24731;19801;25954;19616;34890;25472;40129;42448;64800;62189;72213;.;.;.;.;.;.;.
Sachsen-Anhalt;Insgesamt;106526;138445;198339;208578;236065;274682;301353;312314;318346;313668;320073;252596;245886;291561;366242;392421;435933;461481;556049;.;.;.;.;.;.;.
Schleswig-Holstein;Weiﬂwein;44400;38816;44409;57452;41886;39476;38589;41804;41336;40753;42485;40480;38721;28016;25944;27035;24385;26261;27548;21801;29317;44745;44889;33578;37704;39666
Schleswig-Holstein;Rotwein;32531;30214;36356;39288;51000;47619;58964;69617;68258;72900;74054;74263;71634;52560;51228;49193;54912;53322;44030;42290;60618;67322;73909;59974;61622;70944
Schleswig-Holstein;Insgesamt;76931;69030;80766;96740;92887;87094;97553;111422;109594;113653;116539;114743;110354;80576;77172;76228;79297;79583;71579;64091;89935;112067;118798;93552;99326;110610
Th¸ringen;Weiﬂwein;4652;15022;11360;13273;13955;6366;7406;4274;9047;5858;7127;7418;5006;4675;.;11318;4333;3116;2996;1023;804;1515;.;.;.;.
Th¸ringen;Rotwein;2841;9809;6761;12171;8558;6480;6026;4142;7394;7893;8171;6596;6803;6139;.;1338;2797;2374;2215;582;813;923;.;.;.;.
Th¸ringen;Insgesamt;7493;24831;18121;25444;22513;12846;13432;8416;16441;13751;15298;14014;11809;10814;.;12656;7129;5491;5210;1605;1617;2438;.;.;.;.
__________
Rotwein: Einschlieﬂlich Rotling und RosÈwein.
© Statistisches Bundesamt (Destatis), 2020
Stand: 10.08.2020 / 18:06:09
