GENESIS-Tabelle: 41252-0003
Mit Keltertrauben bestockte Rebfl‰che: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weinanbaugebiete, Rebsorte;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rebfl‰chenerhebung (Weinbaukataster);;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit Keltertrauben bestockte Rebfl‰che (ha);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Saale-Unstrut;Rotwein;-;-;-;-;-;.;128;134;139;143;155;162;170;176;176;181;188;196;199;200;197;194;196;194;198;202
Saale-Unstrut;Insgesamt;-;-;-;-;-;.;619;645;652;648;652;655;658;663;665;685;705;735;755;765;765;768;765;765;772;786
Sachsen;Weiﬂwein;-;-;-;-;-;.;380;388;386;388;361;346;337;349;364;375;376;364;397;405;403;407;407;409;407;412
Sachsen;Rotwein;-;-;-;-;-;.;53;57;60;61;63;70;74;82;87;87;88;86;94;94;95;95;95;91;90;89
Sachsen;Insgesamt;-;-;-;-;-;.;433;445;446;449;424;417;410;431;451;462;464;450;491;499;499;502;502;499;497;501
Insgesamt;Weiﬂwein;86403;86479;85472;84036;82186;80386;79106;77526;73882;70605;67617;65376;64501;64340;64472;65114;65437;65534;65575;65596;66112;66498;67074;67518;67922;68411
Insgesamt;Rotwein;19367;19734;20162;20958;22057;23540;25154;27201;29723;32384;34853;36851;37537;37674;37564;37227;36839;36634;36529;36583;36313;35941;35469;34975;34670;34462
Insgesamt;Insgesamt;105770;106213;105634;104994;104243;103927;104260;104726;103607;102989;102470;102227;102038;102014;102036;102340;102276;102168;102104;102179;102425;102439;102581;102493;102592;102873
__________
"Mittelrhein: Rheinland-Pfalz, Nordrhein-Westfalen.

Mosel: Rheinland-Pfalz, Saarland.
Bis 2007 Anbaugebiet ""Mosel-Saar-Ruwer"".

Saale-Unstrut: Brandenburg, Sachsen-Anhalt, Th¸ringen.

Sachsen: Brandenburg, Sachsen-Anhalt, Sachsen."
© Statistisches Bundesamt (Destatis), 2020
Stand: 10.08.2020 / 17:51:02
