GENESIS-Tabelle: 41253-0005
Erntemenge an Weinmost, Weinmostertrag je Hektar, Rebfläche;;;;;;;;;;
im Ertrag: Bundesländer, Jahre, Weinmostsorte;;;;;;;;;;
Erhebung der Weinernte;;;;;;;;;;
;;Weißmost;Weißmost;Weißmost;Rotmost;Rotmost;Rotmost;Insgesamt;Insgesamt;Insgesamt
;;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag
;;hl;hl;ha;hl;hl;ha;hl;hl;ha
Mecklenburg-Vorpommern;1999;-;-;-;-;-;-;-;-;-
Mecklenburg-Vorpommern;2000;-;-;-;-;-;-;-;-;-
Mecklenburg-Vorpommern;2001;-;-;-;-;-;-;-;-;-
Mecklenburg-Vorpommern;2002;-;-;-;-;-;-;-;-;-
Mecklenburg-Vorpommern;2003;-;-;-;-;-;-;-;-;-
Mecklenburg-Vorpommern;2004;-;-;-;-;-;-;-;-;-
Mecklenburg-Vorpommern;2005;38;19,9;2;44;25,3;2;82;22,5;4
Mecklenburg-Vorpommern;2006;41;21,3;2;37;21,4;2;77;21,3;4
Mecklenburg-Vorpommern;2007;39;20,5;2;24;13,8;2;63;17,3;4
Mecklenburg-Vorpommern;2008;107;59,4;2;75;67,9;1;182;62,6;3
Mecklenburg-Vorpommern;2009;65;36,1;2;42;37,4;1;106;36,6;3
Mecklenburg-Vorpommern;2010;39;21,8;2;97;86,9;1;136;46,6;3
Mecklenburg-Vorpommern;2011;20;9,6;2;21;13,3;2;41;11,2;4
Mecklenburg-Vorpommern;2012;10;3,8;3;5;2,9;2;14;3,5;4
Mecklenburg-Vorpommern;2013;58;27,1;2;56;34,8;2;114;30,4;4
Mecklenburg-Vorpommern;2014;70;32,7;2;52;32,4;2;122;32,6;4
Mecklenburg-Vorpommern;2015;107;36,4;3;87;53,5;2;193;42,5;5
Mecklenburg-Vorpommern;2016;155;53,0;3;59;36,1;2;214;47,0;5
Mecklenburg-Vorpommern;2017;.;.;3;.;.;2;113;21,4;5
Mecklenburg-Vorpommern;2018;185;63,4;3;91;39,0;2;276;52,6;5
Niedersachsen;1993;-;-;-;-;-;-;-;-;-
Niedersachsen;1994;-;-;-;-;-;-;-;-;-
Niedersachsen;1995;-;-;-;-;-;-;-;-;-
Niedersachsen;1996;-;-;-;-;-;-;-;-;-
Niedersachsen;1997;-;-;-;-;-;-;-;-;-
Niedersachsen;1998;-;-;-;-;-;-;-;-;-
Niedersachsen;1999;-;-;-;-;-;-;-;-;-
Niedersachsen;2000;-;-;-;-;-;-;-;-;-
Niedersachsen;2001;-;-;-;-;-;-;-;-;-
Niedersachsen;2002;-;-;-;-;-;-;-;-;-
Niedersachsen;2003;-;-;-;-;-;-;-;-;-
Niedersachsen;2004;-;-;-;-;-;-;-;-;-
Niedersachsen;2005;-;-;-;-;-;-;-;-;-
Niedersachsen;2006;-;-;-;-;-;-;-;-;-
Niedersachsen;2007;-;-;-;-;-;-;-;-;-
Niedersachsen;2008;-;-;-;-;-;-;-;-;-
Niedersachsen;2009;-;-;-;-;-;-;-;-;-
Niedersachsen;2010;-;-;-;-;-;-;-;-;-
Niedersachsen;2011;-;-;-;-;-;-;-;-;-
Niedersachsen;2012;-;-;-;-;-;-;-;-;-
Niedersachsen;2013;-;-;-;-;-;-;-;-;-
Niedersachsen;2014;-;-;-;-;-;-;-;-;-
Niedersachsen;2015;-;-;-;-;-;-;-;-;-
Niedersachsen;2016;-;-;-;-;-;-;-;-;-
Niedersachsen;2017;-;-;-;-;-;-;-;-;-
Niedersachsen;2018;-;-;-;-;-;-;-;-;-
Nordrhein-Westfalen;1993;1389;77,2;18;267;143,8;2;1656;83,4;20
Nordrhein-Westfalen;1994;1599;88,9;18;222;119,4;2;1821;91,8;20
Nordrhein-Westfalen;1995;1510;84,0;17;243;130,5;2;1753;88,3;20
Nordrhein-Westfalen;1996;966;53,7;18;184;99,0;2;1150;57,9;20
Nordrhein-Westfalen;1997;1748;98,6;18;207;111,5;2;1956;99,8;20
Nordrhein-Westfalen;1998;1696;95,7;18;248;133,1;2;1944;99,2;20
Nordrhein-Westfalen;1999;1860;103,2;18;238;152,5;2;2098;107,1;20
Nordrhein-Westfalen;2000;1641;91,0;18;231;148,1;2;1872;95,5;20
Nordrhein-Westfalen;2001;1588;88,1;18;226;144,9;2;1815;92,6;20
Nordrhein-Westfalen;2002;1723;95,6;18;307;196,8;2;2030;103,6;20
Nordrhein-Westfalen;2003;1405;77,9;18;268;171,9;2;1673;85,4;20
Nordrhein-Westfalen;2004;1062;58,9;18;228;146,1;2;1290;65,8;20
Nordrhein-Westfalen;2005;1242;77,0;16;252;119,5;2;1495;81,9;18
Nordrhein-Westfalen;2006;1325;76,1;17;268;110,3;3;1593;80,7;20
Nordrhein-Westfalen;2007;1395;78,7;18;332;136,7;2;1727;85,7;20
Nordrhein-Westfalen;2008;1604;89,1;18;340;170,0;2;1944;97,2;20
Nordrhein-Westfalen;2009;1131;64,5;18;227;86,4;3;1358;67,3;20
Nordrhein-Westfalen;2010;1048;59,7;18;384;145,7;3;1432;70,9;20
Nordrhein-Westfalen;2011;1801;102,5;18;409;156,1;3;2211;109,4;20
Nordrhein-Westfalen;2012;1225;69,7;18;294;112,3;3;1519;75,2;20
Nordrhein-Westfalen;2013;947;55,1;17;270;110,7;2;1217;62,0;20
Nordrhein-Westfalen;2014;1040;60,5;17;276;113,1;2;1316;67,1;20
Nordrhein-Westfalen;2015;1036;62,1;17;251;104,8;2;1288;67,4;19
Nordrhein-Westfalen;2016;1112;66,8;17;275;105,1;3;1387;72,0;19
Nordrhein-Westfalen;2017;902;52,8;17;184;69,0;3;1086;55,0;20
Nordrhein-Westfalen;2018;1537;89,8;17;361;135,9;3;1898;96,0;20
Rheinland-Pfalz;1993;5841789;100,1;58386;832347;115,4;7211;6674136;101,7;65597
Rheinland-Pfalz;1994;6027767;102,9;58557;874452;114,3;7649;6902219;104,3;66206
Rheinland-Pfalz;1995;5043455;86,9;58070;867421;111,7;7767;5910877;89,8;65837
Rheinland-Pfalz;1996;4958985;86,5;57349;910814;114,7;7940;5869798;89,9;65289
Rheinland-Pfalz;1997;4927013;86,7;56802;868941;99,0;8782;5795954;88,4;65583
Rheinland-Pfalz;1998;5837756;105,3;55447;1238777;129,6;9560;7076533;108,9;65007
Rheinland-Pfalz;1999;6566610;121,2;54186;1388144;131,7;10536;7954754;122,9;64723
Rheinland-Pfalz;2000;5130684;96,8;52984;1655639;142,2;11641;6786323;105,0;64625
Rheinland-Pfalz;2001;4512007;90,3;49945;1447380;113,3;12777;5959396;95,0;62722
Rheinland-Pfalz;2002;4701065;99,7;47132;1934300;132,0;14649;6635365;107,4;61781
Rheinland-Pfalz;2003;3997081;89,3;44748;1587951;95,5;16629;5585032;91,0;61377
Rheinland-Pfalz;2004;4292836;100,3;42783;2303227;124,7;18477;6596063;107,7;61260
Rheinland-Pfalz;2005;3798540;91,0;41752;2079931;104,6;19886;5878471;95,4;61638
Rheinland-Pfalz;2006;3808072;91,4;41685;2099699;104,2;20158;5907771;95,5;61843
Rheinland-Pfalz;2007;4449426;105,8;42071;2347146;117,0;20065;6796572;109,4;62137
Rheinland-Pfalz;2008;4397889;103,4;42515;2214630;112,0;19770;6612519;106,2;62285
Rheinland-Pfalz;2009;3853652;89,5;43078;2234715;114,5;19525;6088367;97,3;62603
Rheinland-Pfalz;2010;2934729;67,9;43217;1672021;86,4;19347;4606749;73,6;62565
Rheinland-Pfalz;2011;3947953;91,7;43061;2214242;115,2;19220;6162195;98,9;62281
Rheinland-Pfalz;2012;3886826;90,7;42844;2099420;109,0;19258;5986246;96,4;62103
Rheinland-Pfalz;2013;3731348;87,6;42617;1993635;103,3;19292;5724984;92,5;61909
Rheinland-Pfalz;2014;4135619;95,6;43262;1918916;100,1;19161;6054535;97,0;62422
Rheinland-Pfalz;2015;3917180;90,0;43543;1977319;105,4;18767;5894499;94,6;62310
Rheinland-Pfalz;2016;3982027;90,4;44047;1854615;100,7;18426;5836642;93,4;62472
Rheinland-Pfalz;2017;3222288;72,7;44353;1681901;92,3;18216;4904189;78,4;62570
Rheinland-Pfalz;2018;4893166;110,0;44486;1902602;105,8;17984;6795768;108,8;62471
Saarland;1993;9616;101,2;95;160;80,0;2;9776;100,8;97
Saarland;1994;11538;135,7;85;160;80,0;2;11698;134,5;87
Saarland;1995;10373;122,0;85;163;81,7;2;10536;121,1;87
Saarland;1996;8416;101,4;83;135;67,5;2;8551;100,6;85
Saarland;1997;4879;61,8;79;107;53,3;2;4986;61,6;81
Saarland;1998;9206;116,5;79;153;76,3;2;9359;115,5;81
Saarland;1999;10445;132,2;79;187;93,3;2;10632;131,3;81
Saarland;2000;7671;103,7;74;366;73,2;5;8038;101,7;79
Saarland;2001;7924;108,5;73;373;74,5;5;8296;106,4;78
Saarland;2002;7567;106,6;71;395;79,0;5;7962;104,8;76
Saarland;2003;6981;73,9;94;430;52,1;8;7411;72,2;103
Saarland;2004;9380;101,0;93;596;60,9;10;9976;97,2;103
Saarland;2005;8584;106,1;81;745;81,9;9;9329;103,7;90
