GENESIS-Tabelle: 41254-0003
Erzeugter Wein: Bundesländer, Jahre, Rebsorte,;;;;;;;;;;;;;
Weinkategorien;;;;;;;;;;;;;
Erhebung der Weinerzeugung;;;;;;;;;;;;;
Erzeugter Wein (hl);;;;;;;;;;;;;
;;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte
;;Weißwein;Weißwein;Weißwein;Weißwein;Rotwein;Rotwein;Rotwein;Rotwein;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;Qualitätswein (Wein mit g.U.);Prädikatswein (Wein mit g.U.);Wein und/oder Landwein;Insgesamt;Qualitätswein (Wein mit g.U.);Prädikatswein (Wein mit g.U.);Wein und/oder Landwein;Insgesamt;Qualitätswein (Wein mit g.U.);Prädikatswein (Wein mit g.U.);Wein und/oder Landwein;Insgesamt
Hessen;2018;103678;168063;1074;272815;28703;19594;449;48746;132381;187657;1523;321561
Mecklenburg-Vorpommern;2010;-;-;39;39;-;-;97;97;-;-;136;136
Mecklenburg-Vorpommern;2011;-;-;20;20;-;-;21;21;-;-;41;41
Mecklenburg-Vorpommern;2012;-;-;10;10;-;-;5;5;-;-;14;14
Mecklenburg-Vorpommern;2013;-;-;58;58;-;-;56;56;-;-;114;114
Mecklenburg-Vorpommern;2014;-;-;70;70;-;-;52;52;-;-;122;122
Mecklenburg-Vorpommern;2015;-;-;107;107;-;-;87;87;-;-;193;193
Mecklenburg-Vorpommern;2016;-;-;155;155;-;-;59;59;-;-;214;214
Mecklenburg-Vorpommern;2017;-;-;.;.;-;-;.;.;-;-;113;113
Mecklenburg-Vorpommern;2018;-;-;185;185;-;-;91;91;-;-;276;276
Niedersachsen;2010;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;2011;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;2012;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;2013;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;2014;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;2015;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;2016;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;2017;-;-;-;-;-;-;-;-;-;-;-;-
Niedersachsen;2018;-;-;-;-;-;-;-;-;-;-;-;-
Nordrhein-Westfalen;2010;566;417;13;996;353;6;5;364;919;423;18;1360
Nordrhein-Westfalen;2011;1079;609;114;1801;402;7;-;409;1481;616;114;2211
Nordrhein-Westfalen;2012;730;363;151;1243;265;-;11;276;995;363;162;1519
Nordrhein-Westfalen;2013;526;407;14;947;270;-;-;270;796;407;14;1217
Nordrhein-Westfalen;2014;689;351;-;1040;276;-;-;276;965;351;-;1316
Nordrhein-Westfalen;2015;672;364;-;1036;251;-;-;251;923;364;-;1287
Nordrhein-Westfalen;2016;478;634;-;1112;221;53;-;275;699;687;-;1387
Nordrhein-Westfalen;2017;344;558;-;902;183;-;1;184;527;558;1;1086
Nordrhein-Westfalen;2018;303;1219;15;1537;245;114;2;361;548;1332;17;1898
Rheinland-Pfalz;2010;1951190;863521;100896;2915607;1587872;56517;19741;1664131;3539063;920038;120637;4579738
Rheinland-Pfalz;2011;2229998;1363394;258110;3851502;2016348;151146;41311;2208805;4246347;1514540;299421;6060307
Rheinland-Pfalz;2012;2081623;1460859;300650;3843132;1725731;156567;209104;2091402;3807354;1617426;509754;5934534
Rheinland-Pfalz;2013;2702327;823608;204036;3729971;1815825;73904;108166;1997895;4518152;897512;312202;5727867
Rheinland-Pfalz;2014;3028453;840928;263927;4133309;1839787;44669;64258;1948714;4868240;885597;328186;6082023
Rheinland-Pfalz;2015;2326381;1324127;211423;3861931;1810746;141354;51982;2004082;4137127;1465481;263404;5866013
Rheinland-Pfalz;2016;2683390;962110;282733;3928233;1768160;73928;36938;1879025;4451550;1036038;319671;5807258
Rheinland-Pfalz;2017;2256815;805846;127492;3190153;1613409;59517;23434;1696361;3870225;865363;150926;4886513
Rheinland-Pfalz;2018;2863375;1614679;350717;4828771;1583169;224956;86077;1894202;4446544;1839635;436795;6722973
Saarland;2010;4533;984;20;5537;635;6;4;646;5169;990;24;6183
Saarland;2011;4242;1471;23;5736;764;49;6;819;5006;1520;29;6555
Saarland;2012;3207;1159;32;4397;455;45;4;504;3662;1204;35;4902
Saarland;2013;4001;697;20;4719;635;13;8;656;4636;710;28;5375
Saarland;2014;4421;1502;23;5947;669;19;4;692;5090;1521;27;6638
Saarland;2015;3783;1350;20;5154;690;91;6;787;4474;1441;25;5940
Saarland;2016;3325;1563;10;4898;549;136;-;685;3874;1699;10;5583
Saarland;2017;4202;691;13;4906;614;79;5;699;4816;770;18;5605
Saarland;2018;4070;2564;26;6660;652;244;7;902;4722;2808;32;7562
Sachsen;2010;7050;2062;407;9519;1959;290;58;2307;9009;2352;465;11826
Sachsen;2011;8946;9237;586;18768;1659;2647;62;4369;10605;11884;648;23137
Sachsen;2012;6361;9440;439;16239;1848;1783;68;3698;8209;11223;506;19938
Sachsen;2013;5105;6026;246;11377;1339;1639;72;3050;6444;7665;318;14427
Sachsen;2014;10124;5738;439;16302;2057;1241;138;3436;12181;6979;577;19738
Sachsen;2015;8343;10124;547;19014;2268;2085;206;4559;10610;12210;754;23574
Sachsen;2016;9405;12841;428;22674;2075;2324;269;4669;11480;15166;697;27342
Sachsen;2017;10911;9369;732;21013;2206;2082;260;4549;13118;11451;993;25562
Sachsen;2018;6093;13427;621;20141;1583;2296;240;4119;7677;15723;861;24260
Sachsen-Anhalt;2010;20041;2046;24;22111;9624;323;32;9979;29664;2369;56;32089
Sachsen-Anhalt;2011;27888;9745;35;37668;16189;1408;36;17632;44077;11153;70;55300
Sachsen-Anhalt;2012;9858;9132;15;19005;6195;1267;14;7476;16053;10399;29;26481
Sachsen-Anhalt;2013;20900;8164;35;29098;11689;1140;26;12855;32589;9304;61;41954
Sachsen-Anhalt;2014;24427;5224;48;29699;10752;355;33;11140;35180;5579;81;40839
Sachsen-Anhalt;2015;29935;7195;62;37193;14454;1466;45;15965;44389;8661;107;53158
Sachsen-Anhalt;2016;31181;9466;112;40759;12646;1462;55;14163;43827;10928;167;54922
Sachsen-Anhalt;2017;28816;11410;46;40272;13529;1757;37;15322;42345;13167;83;55595
Sachsen-Anhalt;2018;19916;14364;83;34362;9553;2842;40;12435;29469;17206;123;46797
Schleswig-Holstein;2010;-;-;-;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;2011;.;.;.;.;.;.;.;.;-;-;89;89
Schleswig-Holstein;2012;.;.;.;.;.;.;.;.;-;-;87;87
Schleswig-Holstein;2013;-;-;150;150;-;-;76;76;-;-;226;226
Schleswig-Holstein;2014;-;-;209;209;-;-;121;121;-;-;329;329
Schleswig-Holstein;2015;-;-;184;184;-;-;109;109;-;-;292;292
Schleswig-Holstein;2016;-;-;225;225;-;-;56;56;-;-;280;280
