Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20200802;;;;;;;;;;;;;;;;;;
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1921;year;524,10;522,90;601,50;662,40;477,70;566,30;575,50;576,40;568,00;401,50;633,60;432,90;699,60;484,60;523,40;572,40;578,40
1922;year;635,30;635,30;1247,20;1126,50;907,00;722,30;712,40;710,80;891,50;956,20;665,90;1041,70;866,50;617,30;709,70;826,00;894,00
1923;year;551,80;552,00;937,20;902,90;856,90;575,60;747,90;747,20;909,50;843,70;777,30;1002,10;757,20;574,40;632,80;706,50;789,70
1924;year;508,10;509,00;999,20;966,60;845,10;577,90;691,70;691,50;890,00;818,20;703,40;943,60;752,40;550,40;623,70;715,80;788,70
1925;year;579,40;578,80;907,20;884,40;830,40;605,20;756,20;756,90;939,80;821,50;806,70;1019,30;766,20;519,20;607,40;718,30;788,00
1926;year;759,80;760,20;917,00;976,80;804,50;740,90;896,50;895,40;1011,50;783,80;867,90;843,60;1031,90;733,20;763,10;800,70;885,00
1927;year;693,10;693,70;1079,50;974,10;800,40;753,20;844,10;844,80;893,30;845,40;917,40;988,60;854,10;652,80;700,40;760,40;868,30
1928;year;541,00;541,70;812,20;842,40;766,20;684,30;774,10;774,30;871,80;758,50;793,20;850,60;676,80;560,40;599,90;649,60;753,90
1929;year;434,10;433,80;725,30;714,90;554,60;483,70;539,00;538,80;615,20;606,70;580,80;669,80;572,50;434,10;476,10;529,00;591,30
1930;year;703,00;702,60;1109,00;997,10;805,80;680,10;725,80;725,80;879,60;878,50;730,60;1115,70;878,00;602,10;647,30;704,10;845,40
1931;year;640,90;639,80;1120,10;952,90;793,10;723,60;823,30;824,30;864,20;838,60;851,30;920,70;749,90;590,30;648,70;722,10;841,40
1932;year;536,50;537,90;843,90;839,60;721,00;582,40;737,00;736,70;793,40;772,70;734,70;875,30;746,80;544,10;597,20;664,10;735,60
