Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20200802;;;;;;;;;;;;;;;;;;
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1983;year;1640,00;1640,50;1651,50;1663,90;1495,20;1597,20;1502,50;1502,60;1501,70;1522,40;1572,30;1543,60;1591,90;1578,50;1568,20;1555,20;1582,70
1984;year;1445,10;1444,90;1528,30;1482,30;1268,80;1476,40;1311,10;1312,00;1293,80;1343,00;1406,60;1412,60;1430,00;1358,50;1339,30;1315,10;1401,00
1985;year;1524,70;1524,20;1717,50;1644,50;1467,50;1469,40;1382,40;1382,40;1438,60;1530,80;1381,90;1594,60;1480,70;1471,90;1482,70;1496,30;1521,50
1986;year;1661,90;1661,90;1564,10;1600,90;1437,10;1667,80;1514,60;1515,80;1511,10;1479,50;1538,80;1502,30;1561,50;1542,10;1507,30;1463,50;1555,30
1987;year;1491,90;1492,30;1438,70;1379,80;1314,60;1489,70;1294,00;1294,90;1288,30;1366,70;1328,80;1408,90;1357,00;1361,90;1341,30;1315,50;1370,70
1988;year;1620,90;1620,80;1491,30;1485,20;1360,70;1575,30;1342,50;1342,70;1303,60;1405,50;1409,90;1504,80;1508,10;1500,90;1464,60;1419,00;1451,00
1989;year;1907,60;1907,40;1755,60;1609,00;1630,30;1882,80;1697,00;1697,00;1723,30;1705,70;1710,60;1812,50;1809,30;1836,70;1789,60;1730,30;1731,70
1990;year;1798,30;1798,90;1789,40;1756,00;1590,30;1714,30;1578,70;1578,10;1600,90;1668,30;1591,40;1794,50;1805,00;1703,80;1649,50;1581,10;1691,50
1991;year;1783,20;1781,80;1742,60;1670,50;1606,00;1743,90;1605,70;1606,20;1589,30;1685,70;1665,00;1823,70;1728,30;1731,80;1693,40;1645,00;1679,10
1992;year;1792,40;1791,90;1605,00;1572,90;1531,20;1843,90;1562,80;1563,90;1540,70;1536,50;1675,40;1616,60;1727,40;1702,20;1637,70;1556,60;1623,30
1993;year;1574,70;1574,20;1591,30;1604,00;1529,80;1546,60;1427,10;1427,00;1488,60;1513,20;1459,00;1545,00;1642,50;1541,50;1523,10;1499,90;1539,10
1994;year;1707,40;1705,20;1576,50;1645,40;1545,40;1739,90;1559,30;1560,10;1509,20;1552,40;1672,00;1538,90;1645,10;1677,70;1618,00;1542,90;1612,00
1995;year;1752,00;1750,70;1525,80;1479,50;1508,50;1815,00;1665,10;1667,00;1563,20;1526,60;1815,70;1571,00;1600,30;1687,50;1598,50;1486,40;1600,80
1996;year;1511,40;1510,20;1612,00;1523,10;1461,50;1586,10;1468,30;1469,60;1462,20;1524,10;1589,60;1571,90;1427,00;1425,40;1394,40;1355,40;1503,60
1997;year;1803,60;1802,60;1789,70;1733,40;1662,20;1785,30;1662,30;1662,30;1643,70;1711,20;1745,30;1811,30;1728,60;1746,40;1693,00;1625,80;1721,70
1998;year;1491,20;1491,00;1615,80;1559,50;1338,80;1432,00;1287,90;1288,30;1268,80;1386,20;1379,30;1445,30;1510,50;1441,70;1411,90;1374,50;1437,90
1999;year;1742,60;1741,40;1597,00;1587,30;1569,00;1751,00;1627,20;1628,20;1593,70;1587,20;1729,10;1634,50;1595,40;1664,70;1604,70;1529,30;1626,00
2000;year;1647,40;1646,00;1669,00;1618,20;1437,40;1572,30;1421,90;1422,20;1415,10;1473,00;1472,20;1532,70;1610,20;1609,10;1568,60;1517,80;1546,00
2001;year;1502,50;1502,20;1651,10;1608,20;1446,40;1522,60;1411,20;1411,40;1444,30;1523,80;1500,00;1584,90;1464,10;1472,90;1456,40;1435,70;1513,70
2002;year;1595,20;1594,00;1628,20;1631,90;1416,40;1583,40;1449,20;1450,30;1430,10;1467,00;1548,70;1537,10;1530,00;1508,30;1469,40;1420,50;1533,20
2003;year;2033,10;2031,40;2108,20;2064,80;2006,00;1992,80;1913,00;1913,30;1974,20;2052,50;1948,10;2120,10;2031,20;2011,10;1981,80;1945,00;2013,70
2004;year;1634,60;1633,80;1658,40;1648,90;1519,20;1632,40;1513,50;1513,80;1498,80;1588,00;1584,20;1618,70;1589,20;1584,90;1567,40;1545,30;1589,40
2005;year;1858,90;1858,50;1749,90;1729,00;1666,30;1859,60;1674,40;1676,10;1647,40;1710,60;1823,60;1743,30;1798,60;1791,50;1763,20;1727,50;1742,50
2006;year;1862,80;1862,10;1838,10;1832,30;1708,10;1785,50;1661,90;1661,40;1664,70;1723,80;1676,50;1719,60;1855,60;1828,50;1807,90;1782,00;1770,80
2007;year;1724,60;1724,20;1851,20;1824,50;1613,00;1657,70;1537,00;1537,30;1527,90;1700,40;1652,90;1750,40;1714,50;1689,90;1666,20;1636,30;1691,50
2008;year;1671,00;1670,40;1692,20;1709,10;1504,30;1749,30;1597,50;1598,20;1516,30;1525,90;1708,80;1527,90;1614,80;1659,20;1610,60;1549,40;1634,90
2009;year;1781,40;1781,00;1729,80;1683,80;1565,40;1817,30;1681,40;1682,60;1597,60;1641,10;1791,50;1711,50;1644,90;1707,80;1636,60;1547,20;1685,80
2010;year;1574,00;1574,80;1581,70;1543,40;1497,00;1577,20;1513,50;1514,30;1468,90;1553,80;1578,80;1592,90;1559,50;1534,50;1509,20;1477,50;1538,20
2011;year;1952,10;1952,10;1983,20;1928,10;1795,00;1806,30;1670,00;1669,30;1738,10;1821,90;1649,90;1835,60;1987,40;1897,60;1889,70;1879,80;1847,40
2012;year;1750,20;1750,40;1832,20;1790,80;1612,10;1658,60;1508,50;1508,30;1500,10;1672,50;1555,60;1729,30;1759,60;1668,00;1652,80;1633,80;1673,50
2013;year;1583,30;1584,40;1532,90;1502,30;1408,20;1701,90;1483,60;1485,10;1416,30;1470,00;1623,20;1488,00;1481,30;1518,20;1464,30;1394,00;1507,60
2014;year;1734,00;1733,80;1666,70;1613,00;1494,20;1736,00;1573,70;1575,50;1536,20;1581,00;1692,20;1598,70;1662,20;1648,30;1607,00;1553,20;1620,90
2015;year;1848,50;1848,20;1861,60;1783,60;1652,80;1746,10;1627,00;1627,10;1660,70;1693,20;1637,80;1677,80;1854,80;1787,00;1755,60;1714,70;1742,60
2016;year;1718,10;1717,90;1644,90;1617,20;1483,00;1696,70;1574,30;1574,10;1564,00;1500,60;1573,20;1483,70;1641,80;1675,60;1622,20;1552,40;1607,40
2017;year;1593,40;1593,40;1814,60;1749,20;1515,40;1531,70;1425,00;1426,00;1458,60;1643,90;1499,00;1688,60;1609,90;1541,80;1527,40;1508,40;1596,10
2018;year;2152,60;2152,00;2021,20;2026,00;1954,90;2107,80;1960,40;1960,80;1941,60;1994,20;1947,60;2044,70;2030,60;2085,50;2021,70;1938,50;2015,40
2019;year;1926,00;1925,70;1932,50;1904,90;1782,40;1804,90;1710,10;1709,80;1717,00;1851,30;1676,50;1922,70;1930,60;1882,40;1847,10;1801,10;1834,20
